2,1,0.3933,
2,2,0.40052,
2,3,0.46992,
2,4,0.564,
2,5,0.65236,
2,6,0.73596,
2,7,0.8085,
2,8,0.86178,
2,9,0.901418,
2,10,0.93596,
2,11,0.957539,
2,12,0.97338,
2,13,0.9816,
2,14,0.98934,
2,15,0.99368,
2,16,0.9952,
2,17,0.99664,
2,18,0.99832,
2,19,0.99898,
2,20,1,
2,21,1,
4,1,0.221929,
4,2,0.1545,
4,3,0.145723,
4,4,0.16014,
4,5,0.18648,
4,6,0.21988,
4,7,0.26224,
4,8,0.313806,
4,9,0.370195,
4,10,0.425129,
4,11,0.48466,
4,12,0.542091,
4,13,0.6,
4,14,0.65412,
4,15,0.700594,
4,16,0.74144,
4,17,0.785576,
4,18,0.82068,
4,19,0.85344,
4,20,0.875418,
4,21,0.89366,
6,1,0.15356,
6,2,0.08086,
6,3,0.0608,
6,4,0.05632,
6,5,0.05818,
6,6,0.0637,
6,7,0.07324,
6,8,0.08628,
6,9,0.1025,
6,10,0.12316,
6,11,0.14856,
6,12,0.17482,
6,13,0.20652,
6,14,0.24158,
6,15,0.2769,
6,16,0.315666,
6,17,0.35488,
6,18,0.40098,
6,19,0.44266,
6,20,0.48324,
6,21,0.52854,
7,1,0.13332,
7,2,0.06278,
7,3,0.04286,
7,4,0.03578,
7,5,0.03446,
7,6,0.03624,
7,7,0.0399808,
7,8,0.04668,
7,9,0.0547411,
7,10,0.065,
7,11,0.07758,
7,12,0.09324,
7,13,0.11112,
7,14,0.13196,
7,15,0.15414,
7,16,0.179004,
7,17,0.209904,
7,18,0.24156,
7,19,0.27054,
7,20,0.30596,
7,21,0.3453,
10,1,0.09542,
10,2,0.03248,
10,3,0.0176404,
10,4,0.01194,
10,5,0.00948,
10,6,0.00856,
10,7,0.00818,
10,8,0.00838,
10,9,0.00928,
10,10,0.01018,
10,11,0.0119,
10,12,0.0134,
10,13,0.01556,
10,14,0.0193,
10,15,0.02272,
10,16,0.02726,
10,17,0.0324006,
10,18,0.03926,
10,19,0.0466809,
10,20,0.0544611,
10,21,0.06584,
