2,1,0.3933,
2,2,0.400516,
2,3,0.47092,
2,4,0.5574,
2,5,0.651846,
2,6,0.73824,
2,7,0.80626,
2,8,0.8663,
2,9,0.904578,
2,10,0.938439,
2,11,0.9586,
2,12,0.97074,
2,13,0.98234,
2,14,0.9852,
2,15,0.99298,
2,16,0.9951,
2,17,0.99696,
2,18,0.99844,
2,19,0.99896,
2,20,0.99904,
2,21,1,
4,1,0.22152,
4,2,0.15588,
4,3,0.14628,
4,4,0.15942,
4,5,0.186564,
4,6,0.22272,
4,7,0.26436,
4,8,0.31246,
4,9,0.36636,
4,10,0.42798,
4,11,0.4862,
4,12,0.544351,
4,13,0.59996,
4,14,0.650333,
4,15,0.70278,
4,16,0.75006,
4,17,0.783876,
4,18,0.81878,
4,19,0.84346,
4,20,0.8784,
4,21,0.89802,
6,1,0.15414,
6,2,0.08068,
6,3,0.06226,
6,4,0.0564,
6,5,0.05812,
6,6,0.06362,
6,7,0.07392,
6,8,0.0871,
6,9,0.10356,
6,10,0.12422,
6,11,0.14836,
6,12,0.17536,
6,13,0.20586,
6,14,0.23958,
6,15,0.27868,
6,16,0.317786,
6,17,0.360907,
6,18,0.40222,
6,19,0.44398,
6,20,0.4868,
6,21,0.5234,
7,1,0.134423,
7,2,0.06144,
7,3,0.0431409,
7,4,0.0362607,
7,5,0.0348,
7,6,0.03622,
7,7,0.04042,
7,8,0.04722,
7,9,0.0549211,
7,10,0.0647413,
7,11,0.07816,
7,12,0.09252,
7,13,0.11026,
7,14,0.131263,
7,15,0.15454,
7,16,0.1825,
7,17,0.21024,
7,18,0.23804,
7,19,0.27226,
7,20,0.304,
7,21,0.341527,
10,1,0.09606,
10,2,0.03324,
10,3,0.0176404,
10,4,0.01202,
10,5,0.00958,
10,6,0.00846,
10,7,0.00824,
10,8,0.00826017,
10,9,0.00906,
10,10,0.01006,
10,11,0.0117,
10,12,0.01376,
10,13,0.01616,
10,14,0.01942,
10,15,0.023,
10,16,0.02754,
10,17,0.03282,
10,18,0.03854,
10,19,0.0462009,
10,20,0.05494,
10,21,0.06436,
